Name,Bachelors,Masters,Professionals,Doctors,Total,Bachelor's Percent,Master's Percent,Professional's Percent,Doctor's Percent,Percent Sum,Percent Sum less educated,credit score
Alabama,503930.0,216001.0,49452.0,34195.0,3276637.0,15.38,6.59,1.51,1.04,24.52,75.48,657
Alaska,88308.0,35770.0,8878.0,4865.0,475442.0,18.57,7.52,1.87,1.02,28.99,71.01,675
Arizona,802435.0,347309.0,79689.0,55224.0,4516175.0,17.77,7.69,1.76,1.22,28.45,71.55,671
Arkansas,280677.0,111094.0,26156.0,19501.0,1985770.0,14.13,5.59,1.32,0.98,22.03,77.97,662
California,5291984.0,2135376.0,616368.0,410003.0,25950818.0,20.39,8.23,2.38,1.58,32.58,67.42,688
Colorado,909794.0,391994.0,83193.0,61492.0,3668477.0,24.8,10.69,2.27,1.68,39.43,60.57,701
Connecticut,532055.0,306063.0,73239.0,41842.0,2480297.0,21.45,12.34,2.95,1.69,38.43,61.57,698
District of Columbia,113830.0,96398.0,39862.0,20333.0,477843.0,23.82,20.17,8.34,4.26,56.59,43.41,674
Delaware,117478.0,60642.0,12303.0,11346.0,651540.0,18.03,9.31,1.89,1.74,30.97,69.03,679
Florida,2616384.0,1021907.0,295243.0,162324.0,14396066.0,18.17,7.1,2.05,1.13,28.45,71.55,672
Georgia,1241995.0,539097.0,136781.0,85658.0,6693826.0,18.55,8.05,2.04,1.28,29.93,70.07,656
Hawaii,209097.0,69536.0,22323.0,14394.0,984320.0,21.24,7.06,2.27,1.46,32.04,67.96,702
Idaho,194303.0,62960.0,15793.0,12085.0,1065313.0,18.24,5.91,1.48,1.13,26.77,73.23,695
Illinois,1776326.0,823826.0,187683.0,110749.0,8666079.0,20.5,9.51,2.17,1.28,33.45,66.55,689
Indiana,704841.0,295381.0,61395.0,44691.0,4369451.0,16.13,6.76,1.41,1.02,25.32,74.68,677
Iowa,386963.0,128747.0,32657.0,24058.0,2067914.0,18.71,6.23,1.58,1.16,27.68,72.32,708
Kansas,389007.0,162930.0,35336.0,23073.0,1886741.0,20.62,8.64,1.87,1.22,32.35,67.65,684
Kentucky,406916.0,205326.0,51749.0,28577.0,2986199.0,13.63,6.88,1.73,0.96,23.19,76.81,669
Maine,185832.0,75126.0,17260.0,12809.0,961086.0,19.34,7.82,1.8,1.33,30.28,69.72,697
Louisiana,473914.0,168699.0,51419.0,29420.0,3092069.0,15.33,5.46,1.66,0.95,23.4,76.6,654
Massachusetts,1101605.0,617390.0,136720.0,125146.0,4706536.0,23.41,13.12,2.9,2.66,42.09,57.91,706
Maryland,860298.0,510441.0,121923.0,104335.0,4095427.0,21.01,12.46,2.98,2.55,38.99,61.01,679
Michigan,1147842.0,545875.0,114622.0,78702.0,6719972.0,17.08,8.12,1.71,1.17,28.08,71.92,684
Minnesota,849439.0,304197.0,79377.0,52737.0,3698605.0,22.97,8.22,2.15,1.43,34.76,65.24,722
Mississippi,259993.0,112174.0,26246.0,18905.0,1956101.0,13.29,5.73,1.34,0.97,21.33,78.67,648
Missouri,718198.0,318072.0,70213.0,49226.0,4100209.0,17.52,7.76,1.71,1.2,28.19,71.81,681
Montana,145089.0,49649.0,12630.0,8940.0,703919.0,20.61,7.05,1.79,1.27,30.73,69.27,702
Nebraska,251182.0,88669.0,21989.0,15612.0,1233842.0,20.36,7.19,1.78,1.27,30.59,69.41,700
New Hampshire,209224.0,97891.0,18073.0,13370.0,939471.0,22.27,10.42,1.92,1.42,36.04,63.96,712
Nevada,306611.0,111435.0,30932.0,17143.0,1968023.0,15.58,5.66,1.57,0.87,23.68,76.32,657
New Jersey,1439971.0,658970.0,154079.0,94816.0,6163699.0,23.36,10.69,2.5,1.54,38.09,61.91,692
New Mexico,208790.0,115064.0,22601.0,24839.0,1381630.0,15.11,8.33,1.64,1.8,26.87,73.13,664
New York,2718987.0,1516018.0,381597.0,204211.0,13660809.0,19.9,11.1,2.79,1.49,35.29,64.71,694
North Carolina,1303604.0,520695.0,110809.0,90608.0,6784048.0,19.22,7.68,1.63,1.34,29.86,70.14,673
North Dakota,102497.0,26075.0,6583.0,5115.0,485490.0,21.11,5.37,1.36,1.05,28.89,71.11,713
Ohio,1341204.0,591026.0,129078.0,87319.0,7888150.0,17.0,7.49,1.64,1.11,27.24,72.76,684
Oklahoma,422888.0,151995.0,34617.0,24864.0,2553488.0,16.56,5.95,1.36,0.97,24.84,75.16,663
Oregon,561492.0,238020.0,59677.0,43738.0,2797953.0,20.07,8.51,2.13,1.56,32.27,67.73,700
Pennsylvania,1621733.0,752518.0,171742.0,127226.0,8885953.0,18.25,8.47,1.93,1.43,30.08,69.92,694
Rhode Island,144515.0,67318.0,15471.0,13092.0,729261.0,19.82,9.23,2.12,1.8,32.96,67.04,691
South Carolina,571099.0,241554.0,48967.0,36461.0,3325601.0,17.17,7.26,1.47,1.1,27.01,72.99,660
South Dakota,109468.0,32264.0,8192.0,6190.0,560605.0,19.53,5.76,1.46,1.1,27.85,72.15,711
Tennessee,738613.0,301103.0,73194.0,53863.0,4478450.0,16.49,6.72,1.63,1.2,26.05,73.95,667
Texas,3288777.0,1255615.0,274956.0,191047.0,17454431.0,18.84,7.19,1.58,1.09,28.71,71.29,660
Utah,375297.0,136858.0,30298.0,24698.0,1743090.0,21.53,7.85,1.74,1.42,32.54,67.46,698
Vermont,95590.0,46246.0,11257.0,8049.0,437900.0,21.83,10.56,2.57,1.84,36.8,63.2,713
Virginia,1220919.0,670315.0,139950.0,102313.0,5680765.0,21.49,11.8,2.46,1.8,37.56,62.44,690
West Virginia,155423.0,74597.0,16296.0,11105.0,1293665.0,12.01,5.77,1.26,0.86,19.9,80.1,668
Washington,1064440.0,444410.0,104838.0,73660.0,4896055.0,21.74,9.08,2.14,1.5,34.46,65.54,704
Wyoming,67798.0,26053.0,5410.0,4693.0,388617.0,17.45,6.7,1.39,1.21,26.75,73.25,694
Wisconsin,748413.0,278119.0,64212.0,43737.0,3907816.0,19.15,7.12,1.64,1.12,29.03,70.97,710
